State/UT,Cases in 2015,Cases in 2016,Cases in 2017,Cases in 2018,Cases in 2019,Cases in 2020,Cases in 2021,Total Crimes
ap,536,616,931,1207,1886,2436,2645,10257
Karnataka,6,4,1,7,8,10,13,49
Bihar,483,696,1120,2022,2231,2765,3024,12341
Chhattisgarh,103,90,171,139,175,234,315,1227
Bihar,49,5,36,65,78,12,32,277
Bihar,123,222,189,53,101,322,169,1179
Bihar,567,678,343,23,678,976,583,3848
Bihar,23,34,44,66,567,78,83,895
Bihar,343,453,333,674,763,883,234,3683
Bihar,787,89,98,345,655,212,108,8190
Karnataka,67,78,89,90,12,34,45,415
Karnataka,666,222,333,999,78,56,70,2424
Karnataka,45,46,47,48,49,50,51,2038
Karnataka,98,99,100,101,102,103,104,707
Karnataka,99,100,101,102,103,104,105,714
Karnataka,100,101,102,103,104,105,106,721
Karnataka,101,102,103,104,105,106,107,728
Karnataka,102,103,104,105,106,107,108,735
Chhattisgarh,103,104,105,106,107,108,109,742
Chhattisgarh,4543,4544,4545,4546,4547,4548,4549,31822
Chhattisgarh,45,46,47,48,49,50,51,336
Chhattisgarh,234,235,236,237,238,239,240,1659
Chhattisgarh,342,343,344,345,346,347,348,2415
Chhattisgarh,2,3,4,5,6,7,8,35
Chhattisgarh,534,535,536,537,538,539,540,3759
Chhattisgarh,53,54,55,56,57,58,59,392
Chhattisgarh,35,36,37,38,39,40,41,266
Chhattisgarh,234,235,236,237,238,239,240,1659
Chhattisgarh,32,33,34,35,36,37,38,245
ap,245,246,247,248,249,250,251,1736
ap,2534,2535,2536,2537,2538,2539,2540,17759
ap,345,346,347,348,349,350,351,2436
ap,345,346,347,348,349,350,351,2436
ap,887,888,889,890,891,892,893,6230
ap,45,46,47,48,49,50,51,336
ap,768,769,770,771,772,773,774,5397
ap,345,346,347,348,349,350,351,2436
ap,345,346,347,348,349,350,351,2436
Kerala,665,666,667,668,669,670,671,4676
Kerala,876,877,878,879,880,881,882,6153
Kerala,789,790,791,792,793,794,795,5544
Kerala,567,568,569,570,571,572,573,3990
Kerala,435,436,437,438,439,440,441,3066
Kerala,345,346,347,348,349,350,351,2436
Kerala,3425,3426,3427,3428,3429,3430,3431,23996
Kerala,35,36,37,38,39,40,41,266
Kerala,353,354,355,356,357,358,359,2492
Kerala,545,546,547,548,549,550,551,3836
Kerala,324,325,326,327,328,329,330,2289
Kerala,78,79,80,81,82,83,84,567
Kerala,435,436,437,438,439,440,441,3066
Kerala,45,46,47,48,49,50,51,336
Kerala,123,124,125,126,127,128,129,882
Kerala,45,46,47,48,49,50,51,336
Kerala,12,13,14,15,16,17,18,105
Kerala,324,325,326,327,328,329,330,2289
Kerala,67,68,69,70,71,72,73,490
Kerala,67,68,69,70,71,72,73,490
Kerala,34,35,36,37,38,39,40,259
Kerala,35,36,37,38,39,40,41,266
Telangana,3556,3557,3558,3559,3560,3561,3562,24913
Telangana,456,457,458,459,460,461,462,3213
Telangana,24,25,26,27,28,29,30,189
Telangana,980,981,982,983,984,985,986,6881
Telangana,255,256,257,258,259,260,261,1806
Telangana,5432,5433,5434,5435,5436,5437,5438,38045
Telangana,12,13,14,15,16,17,18,105
Telangana,325,326,327,328,329,330,331,2296
Telangana,345,346,347,348,349,350,351,2436
Telangana,345,346,347,348,349,350,351,2436
Telangana,678,679,680,681,682,683,684,4767
Telangana,345345,345346,345347,345348,345349,345350,345351,2417436
Kerala,43534,43535,43536,43537,43538,43539,43540,304759
Telangana,65758,65759,65760,65761,65762,65763,65764,460327
ap,7876,7877,7878,7879,7880,7881,7882,55153
Karnataka,3245342,3245343,3245344,3245345,3245346,3245347,3245348,22717415
ap,56756,56757,56758,56759,56760,56761,56762,397313
Kerala,3456347,3456348,3456349,3456350,3456351,3456352,3456353,24194450
Telangana,87987,87988,87989,87990,87991,87992,87993,615930
Karnataka,5464,5465,5466,5467,5468,5469,5470,38269
ap,789,790,791,792,793,794,795,5544
Bihar,3534,3535,3536,3537,3538,3539,3540,24759
Kerala,534,535,536,537,538,539,540,3759
Bihar,54344,54345,54346,54347,54348,54349,54350,380429
ap,3453,3454,3455,3456,3457,3458,3459,24192
Kerala,5463,5464,5465,5466,5467,5468,5469,38262
Karnataka,3453,3454,3455,3456,3457,3458,3459,24192
Telangana,346,347,348,349,350,351,352,2443
Bihar,7575,7576,7577,7578,7579,7580,7581,53046
Karnataka,23452,23453,23454,23455,23456,23457,23458,164185
Karnataka,453,454,455,456,457,458,459,3192
Kerala,4535,4536,4537,4538,4539,4540,4541,31766
Bihar,567,568,569,570,571,572,573,3990
Telangana,423,424,425,426,427,428,429,2982
Telangana,564,565,566,567,568,569,570,3969
Karnataka,78342,78343,78344,78345,78346,78347,78348,548415
Bihar,3245,3246,3247,3248,3249,3250,3251,22736
Kerala,3453,3454,3455,3456,3457,3458,3459,24192
Bihar,567,568,569,570,571,572,573,3990
Karnataka,334,876,877,878,879,880,881,5271
ap,67,456,457,458,459,460,461,2751
Bihar,435,324,325,326,327,328,329,1959
ap,56,678,679,680,681,682,683,4083
Karnataka,54,55,56,57,58,59,60,399
Bihar,678,679,680,681,682,683,684,4767
Kerala,342,343,344,345,346,347,348,2415
Karnataka,67,68,69,70,71,72,73,490
Kerala,546,547,548,549,550,551,552,3843
ap,3,4,5,6,7,8,9,42
Karnataka,45,46,47,48,49,50,51,336
Karnataka,345,346,347,348,349,350,351,2436
Kerala,567,568,569,570,571,572,573,3990
Telangana,4556,4557,4558,4559,4560,4561,4562,31913
Karnataka,657,658,659,660,661,662,663,4620
ap,324,325,326,327,328,329,330,2289
Kerala,546,547,548,549,550,551,552,3843
Telangana,2,3,4,5,6,7,8,35
Kerala,54,55,56,57,58,59,60,399
ap,46,47,48,49,50,51,52,343
